wavelength_AA,ion,IP,,,,,,,,
154600,[CoII],17.08,,,,,,,,
155550,[NeIII],63.45,,,,,,,,
163900,[CoIII],33.5,,,,,,,,
169250,[CoI],7.86,,,,,,,,
178850,[PIII],30.2,,,,,,,,
179363,[FeII],16.19,,,,,,,,
182405,[NiII],18.17,,,,,,,,
182640,[CoI],7.86,,,,,,,,
187129,[SIII],34.79,,,,,,,,
188040,[CoII],17.08,,,,,,,,
203540,[ClIV],53.46,,,,,,,,
212900,[NaIV],98.91,,,,,,,,
218420,[ArIII],40.74,,,,,,,,
229300,[FeIII],30.65,,,,,,,,
240423,[FeI],7.9,,,,,,,,
240700,[CoIII],33.5,,,,,,,,
243000,[NeV],126.21,,,,,,,,
245186,[FeII],16.19,,,,,,,,
247475,[FI],17.42,,,,,,,,
248450,[CoI],7.86,,,,,,,,
252490,[SI],10.36,,,,,,,,
256810,[CoII],17.08,,,,,,,,
258300,[FIV],87.14,,,,,,,,
259130,[OIV],77.41,,,,,,,,
259300,[CoI],7.86,,,,,,,,
259882,[FeII],16.19,,,,,,,,
293300,[FII],34.97,,,,,,,,
328700,[PII],19.77,,,,,,,,
330400,[FeIII],30.65,,,,,,,,
332810,[ClII],23.81,,,,,,,,
334800,[SIII],34.79,,,,,,,,
347133,[FeI],7.9,,,,,,,,
348140,[SiII],16.35,,,,,,,,
353491,[FeII],16.19,,,,,,,,
357768,[FeII],16.19,,,,,,,,
360090,[NeIII],63.45,,,,,,,,
392740,[CoII],17.08,,,,,,,,
440700,[FIV],87.14,,,,,,,,
513005,[FeII],16.19,,,,,,,,
516800,[FeIII],30.65,,,,,,,,
518145,[OIII],54.93,,,,,,,,
543109,[FeI],7.9,,,,,,,,
563110,[SI],10.36,,,,,,,,
573170,[NIII],47.45,,,,,,,,
606400,[PII],19.77,,,,,,,,
631837.05,[OI],13.62,,,,,,,,
672000,[FII],34.97,,,,,,,,
684740,[SiI],8.15,,,,,,,,
873820,[FeII],16.19,,,,,,,,
883560,[OIII],54.93,,,,,,,,
892370,[AlI],5.99,,,,,,,,
1053700,[FeIII],30.65,,,,,,,,
1111830,[FeI],7.9,,,,,,,,
1218980.6,[NII],29.6,,,,,,,,
1296817.3,[SiI],8.15,,,,,,,,
1455254.39,[OI],13.62,,,,,,,,
1577409,[CII],24.38,,,,,,,,
2051782,[NII],29.6,,,,,,,,
